Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
ph,sua-on,7.662778,125.638333,75.2,100,40,3.36
ph,tagasilay,7.301782000000001,122.25791299999999,78.8,88,75,4.7
ph,caticlan,11.927672,121.95361000000001,81.02,100,24,8.5
mx,san sebastian villanueva,19.05,-97.716667,59,87,90,8.05
br,mazagao,-0.116667,-51.283333,82.4,100,90,6.93
us,wheaton,41.866111100000005,-88.1069444,47.89,39,1,6.93
fi,mikkeli,61.683333,27.25,51.8,93,90,6.93
ua,narkevychi,49.517173,26.641782,48.35,87,0,7.16
ph,santa catalina,16.0835,120.6116,74.81,97,8,3.02
ro,sarasau,47.95,23.816667000000002,51.8,66,0,5.82
de,ebersbach,48.716667,9.533333,48.85,81,0,3.36
ro,camar,47.3,22.616667,45.66,93,0,3.36
ru,barda,56.927679000000005,55.593454,37.82,75,64,8.16
ru,zalari,53.5584,102.5065,26.57,79,32,2.8
gr,khrison,41.0666667,23.65,54.02,89,36,0.89
id,tabanan,-8.5384,115.1282,80.6,78,75,6.93
it,alatri,41.716667,13.35,66.2,77,0,5.82
bf,dano,11.15,-3.0666667000000003,75.8,88,12,3.13
br,conceicao do rio verde,-21.883333,-45.083333,68.6,88,76,6.38
hu,kompolt,47.733333,20.25,50,66,0,4.7
us,kansas city,39.1141667,-94.6272222,63.5,39,1,5.82
mx,dolores hidalgo,21.156111,-100.93083299999999,71.6,56,75,9.17
co,chinu,9.10569,-75.398116,82.4,88,90,9.17
it,martano,40.2,18.3,61.5,100,0,1.12
bg,jakoruda,42.0252778,23.6841667,39.8,80,0,2.68
uy,san jose,-34.3375,-56.7136111,73.19,71,0,9.62
fr,colombes,48.918824,2.254044,56.97,82,0,5.82
ph,cavinti,14.244817000000001,121.507974,80.6,100,75,2.24
il,rekhasim,32.75,35.1,78.59,100,0,7.61
py,carapegua,-25.8,-57.233332999999995,72.74,96,32,2.57
de,steinen,47.647177,7.741135000000001,45.27,93,12,4.59
ua,bohuslav,49.549391,30.874396,44.57,79,0,3.13
be,colfontaine,50.383333,3.8666669999999996,54.03,87,32,3.36
in,pale,15.466667000000001,74.083333,73.37,100,32,3.36
mx,las varas,21.166667,-105.16666699999999,78.58,94,90,2.13
ro,sohodol,46.35,23.033333,43.68,61,40,3.36
it,montemurlo,43.916667,11.05,58.33,82,40,3.36
in,malkapur,16.933332999999998,73.916667,70.85,97,92,2.91
bg,bjala,42.8833333,27.883333299999997,59,82,0,6.93
mx,santa cruz del valle,20.533333,-103.43333299999999,77,47,75,4.7
cz,roznov,49.4606,18.136664,52.75,81,0,2.24
nl,vianen,51.987057,5.095258,53.31,93,75,1.12
hu,asotthalom,46.198752,19.783342,46.4,75,0,1.12
tr,malkara,40.89,26.901111,55.73,95,0,5.82
in,sankeshwar,16.266667,74.483333,66.17,98,88,2.13
ro,magureni,45.066666999999995,25.733333,56.32,76,0,4.7
bd,kaliganj,23.4166667,89.1333333,68.42,86,0,2.8
in,dhar,22.6,75.3,66.44,75,0,1.57
pl,polaniec,50.427146,21.282381,39.2,86,76,1.12
sn,louga,15.616666699999998,-16.216666699999998,78.8,83,0,6.93
us,springfield,43.298333299999996,-72.4827778,44.6,65,90,8.05
ro,priboieni,44.883333,25.083333,49.52,84,8,3.13
ph,japitan,10.765244000000001,123.544403,78.8,88,40,2.24
ru,kamen-na-obi,53.7884,81.3423,32.06,71,20,14.99
gb,holbeach,52.8,0.016666999999999998,47.98,93,20,7.94
gb,cardenden,56.13333299999999,-3.25,37.4,100,0,2.24
be,kruishoutem,50.9,3.516667,53.96,87,20,3.36
de,konigs wusterhausen,52.283333,13.616667000000001,45.72,100,0,1.12
br,laranjeiras,-10.8,-37.166667,78.8,78,40,11.41
jp,obama,35.5,135.75,63.56,87,68,2.35
pe,huamachuco,-7.8,-78.0666667,47.9,97,92,1.68
be,erezee,50.3,5.55,52.36,93,20,2.24
be,lubbeek,50.883333,4.8333330000000005,55.17,93,8,6.93
us,port saint lucie,27.293611100000003,-80.35055559999999,81.05,74,1,6.93
fr,bellegarde-sur-valserine,46.110377,5.830437,49.41,81,0,3.36
gr,igoumenitsa,39.5038889,20.265555600000003,60.8,87,0,3.47
gt,oratorio,14.228056,-90.175833,69.8,77,75,4.7
co,puerto berrio,6.4915650000000005,-74.40326400000001,75.89,94,48,2.24
ro,dor marunt,44.45,26.916666999999997,55.4,76,0,3.36
it,novellara,44.85,10.733333,58.98,93,75,5.82
cz,horomerice,50.133877000000005,14.334353,45.39,87,0,3.36
ru,zalegoshch,52.898897999999996,36.890927000000005,42.5,75,0,2.8
us,east bridgewater,42.033333299999995,-70.9597222,49.87,71,40,4.7
us,douglasville,33.751388899999995,-84.7477778,65.41,55,1,3.36
us,neosho,36.868888899999995,-94.3677778,62.24,51,1,6.82
ru,zemetchino,53.497296,42.616319,38.18,83,0,2.8
in,sarila,25.766667,79.68333299999999,71.57,46,0,2.57
cn,hengshan,45.2,130.916667,38.99,57,0,3.36
ru,krasnogorskiy,54.5471,86.281,29,80,0,9.73
no,stokmarknes,68.561944,14.908610999999999,46.46,100,92,24.16
ru,yandyrka,43.275,44.912778,37.46,77,0,2.24
sl,yonibana,8.4447222,-12.245,73.1,98,88,2.91
ph,canocotan,7.3998,125.7727,75.2,100,40,3.36
ru,tsementnyy,57.4693,60.1536,36.56,90,88,11.97
ro,tarlungeni,45.633333,25.75,37.01,79,0,1.79
fi,nurmijarvi,60.466667,24.8,51.8,93,75,11.41
dk,ronne,55.10090699999999,14.706635999999998,48.2,87,0,3.36
mx,chemax,20.65,-87.93333299999999,84.17,66,92,7.83
ba,sarajevo,43.85,18.3833333,44.6,100,0,1.9
hu,csabacsud,46.833333,20.65,48.07,66,0,4.7
ph,lumban,14.2973,121.4598,80.6,100,75,2.24
jp,muroto,33.283333,134.15,62.6,67,40,10.29
nl,borculo,52.116011,6.520741,57.2,87,90,3.36
gh,akropong,5.9666667,-0.08333330000000001,80.6,88,40,9.17
in,banki,20.383333,85.533333,73.4,94,0,3.36
ru,krasnoshchekovo,51.670833,82.728889,34.04,55,0,13.53
ph,claver,9.5749,125.7307,80.84,100,68,2.57
be,charleroi,50.416667,4.433333,54.66,82,40,6.93
mx,lagos de moreno,21.35,-101.916667,72.48,40,40,16.11
cn,hegang,47.4,130.366667,38.81,62,0,3.47
ru,iznoski,54.98805600000001,35.310833,38.27,72,0,5.14
mx,tlalnepantla,19.526944,-99.22166700000001,63.37,55,90,13.87
be,maldegem,51.216667,3.45,52.97,82,75,4.7
no,tau,59.066667,5.9,50.85,71,92,14.99
mu,flic en flac,-20.2741667,57.363055599999996,73.4,83,75,8.05
ua,rakoshyno,48.467126,22.596872,41.24,75,0,2.46
ph,monpon,10.911944,122.637778,77.78,100,20,4.59
sd,abu zabad,12.35,29.25,67.79,38,0,5.59
ph,bahile,9.996,118.7857,77,88,75,4.7
py,antequera,-24.133333,-57.083332999999996,77.6,100,44,3.58
ru,prokudskoye,55.0089,82.4574,33.8,74,40,15.66
pt,meadela,41.706540999999994,-8.796279,56.3,93,75,5.82
ni,condega,13.35,-86.4,69.8,94,90,4.14
fr,figeac,44.611598,2.033065,54.16,93,0,2.24
in,biaora,23.866667,76.916667,67.34,65,20,5.82
it,noale,45.553333,12.071944,60.85,93,0,1.12
ws,sasina,-13.45,-172.43333330000002,82.55,100,92,18.9
nz,patea,-39.758333,174.48333300000002,62.84,73,8,8.95
in,ron,15.666667000000002,75.733333,66.8,98,56,2.35
br,turmalina,-17.283333,-42.75,71.21,89,24,12.08
tz,matai,-8.3,31.516666700000002,60.77,76,76,2.01
us,hibbing,47.4272222,-92.9375,34.88,34,1,5.82
us,quincy,39.9355556,-91.4097222,53.08,70,1,8.05
ru,razumnoye,50.534392,36.68462,55.4,71,0,4.47
ec,guaranda,-1.6,-79.0,65.27,80,44,1.34
ru,lopatinskiy,55.34100600000001,38.723658,39.2,93,0,2.24
ci,toulepleu,6.5797419999999995,-8.410905999999999,72.65,97,56,3.69
br,mogeiro,-7.3,-35.466667,76.23,83,75,16.11
mx,ocotepec,16.8,-96.4,66.2,77,90,8.05
rs,ub,44.456111,20.073889,54.21,76,0,6.93
si,trzic,46.3666667,14.316666699999999,53.49,100,75,3.36
in,krishnapur,22.670278,88.269444,73.4,94,20,2.8
ee,rapla,59.00722220000001,24.792777800000003,48.2,100,0,4.7
mq,basse-pointe,14.866666699999998,-61.1166667,80.6,83,40,12.75
in,banjar,31.633333,77.35,30.44,55,32,1.79
it,thiene,45.7,11.483333,55.71,93,0,1.12
jp,komatsu,36.4,136.45,56.46,82,20,4.7
cz,susice,49.237292,13.523972,42.8,100,0,2.57
us,clemson,34.6833333,-82.8375,69.21,68,1,4.7
fr,dijon,47.316666999999995,5.016667,55.26,67,0,8.05
py,santa elena,-25.4,-56.8,75.62,95,48,6.71
ru,sychevka,55.82515,34.273615,41.51,78,0,7.38
us,makakilo city,21.346944399999998,-158.08583330000002,84.18,48,20,9.17
bd,kalia,23.05,89.6333333,68.42,86,0,2.68
mx,poanas,25.766667,-103.616667,59,77,90,9.17
ca,perth,44.883333,-76.233333,40.03,60,1,16.11
us,carson,33.83138889999999,-118.2811111,78.49,46,1,12.75
us,bloomingdale,36.584444399999995,-82.4894444,55.42,87,1,5.82
py,ypacarai,-25.383333,-57.266667000000005,75.62,95,48,6.71
br,araguaina,-7.16,-48.0575,80.3,79,12,7.61
ca,lillooet,50.683333000000005,-121.933333,59,44,1,1.45
co,onzaga,6.344336,-72.817258,53.57,83,24,1.01
in,parnera,20.55,72.95,75.26,87,68,2.8
ru,yeysk,46.7055,38.2739,55.91,88,0,11.74
ve,el limon,10.309166699999999,-67.6325,82.4,74,75,3.13
mx,tepatlaxco,19.066667000000002,-97.966667,59,87,90,8.05
us,hamden,41.3958333,-72.8972222,52.72,57,75,13.87
gb,leyland,53.683333,-2.7,47.28,81,0,8.05
pw,kloulklubed,7.039444400000001,134.2525,82.4,78,75,7.16
de,borken,51.05,9.283333,48.85,100,75,1.12
br,colorado,-22.816667000000002,-51.95,76.97,83,36,3.36
ru,zarya,60.0077,48.029571000000004,35.66,92,56,4.25
pt,penafiel,41.208348,-8.282847,58.24,93,75,5.82
ru,ulagan,50.633333,87.966667,25.67,95,92,2.8
ro,chiojdeni,45.55,26.866667,46.1,84,0,4.59
br,sao joao do piaui,-8.35,-42.25,73.82,92,20,4.92
ke,witu,-2.3905556,40.453055600000006,72.02,94,44,2.57
zw,kwekwe,-18.9166667,29.816666700000003,60.86,87,0,2.91
fr,aix-les-bains,45.683378000000005,5.922406,50.76,93,0,2.24
de,marienheide,51.083333,7.533333,54.5,93,24,1.12
ro,turnu magurele,43.75,24.866667,53.66,86,0,6.38
ar,libertador general san martin,-23.806442999999998,-64.78757399999999,84.2,25,20,3.36
ro,candesti,45.083333,25.216667,49.52,84,8,3.13
ph,carmen,9.226389,126.017222,77.33,98,76,2.13
ca,brockville,44.583333,-75.68333299999999,40.39,60,1,16.11
hu,balatonfoldvar,46.852548999999996,17.881227,50,87,0,3.69
pt,senhora da hora,41.186405,-8.651721,58.24,93,75,5.82
co,puerto rondon,6.280476999999999,-71.1,88.4,49,0,5.93
in,shahada,21.466667,74.3,69.41,75,20,3.47
ru,listvyanka,51.8535,104.8693,30.2,92,0,6.71
ro,produlesti,44.7,25.5,55.4,76,0,3.36
in,pullampadi,10.966667,78.916667,78.8,88,40,2.24
lt,utena,55.5,25.6,39.26,78,0,4.47
ru,moryakovskiy zaton,56.695556,84.64666700000001,33.14,76,88,12.19
in,pennagaram,12.133333,77.9,68.06,98,88,3.13
in,sambhar,26.916666999999997,75.2,75.2,36,20,3.91
br,muritiba,-12.916667,-39.25,77.69,77,92,9.95
fr,provins,48.561463,3.297725,54.97,93,0,6.93
ca,wilkie,52.416667,-108.7,69.8,18,1,12.75
hu,ajak,48.176636,22.062734,46.37,70,0,2.8
us,sedro-woolley,48.5038889,-122.2361111,67.5,42,1,2.01
in,nangavalli,11.75,77.883333,68.06,98,88,3.13
us,blackfoot,43.1905556,-112.34416670000002,64.36,20,1,9.17
gt,pajapita,14.716667000000001,-92.033333,79.5,78,75,4.7
ro,beclean,47.183333000000005,24.183332999999998,41,86,0,2.24
in,chandigarh,30.7343,76.7933,64.28,61,92,3.47
cn,zhicheng,30.295556,111.504722,60.05,78,44,5.37
de,nurtingen,48.633333,9.35,48.78,81,0,3.36
br,sao domingos do prata,-19.866667,-42.966667,80.6,78,40,6.49
ru,progress,49.74100000000001,129.6824,35.75,78,8,5.59
de,rheinau,48.866667,8.2,51.8,87,32,4.7
ph,buenavista,9.115,126.16083300000001,77.33,98,76,2.13
de,plettenberg,51.216667,7.883333,54.18,93,24,1.12
in,kollegal,12.15,77.116667,66.26,100,88,3.02
ph,banaba,13.8966,121.21,79.67,92,20,4.92
mx,arcelia,18.283333,-100.266667,76.61,53,80,1.9
eg,fowa,31.2025,30.5472222,60.59,95,0,1.9
lc,canaries,13.9,-61.0666667,78.85,94,75,8.05
pl,koscierzyna,54.124787,17.972062,44.6,93,12,2.24
in,sarwar,26.066667000000002,75.0,69.23,65,20,3.47
it,spresiano,45.777778000000005,12.266111,60.85,93,0,1.12
us,del city,35.4419444,-97.4405556,62.78,59,1,6.71
lv,aizkraukle,56.6,25.1833333,43.13,85,0,4.92
it,la maddalena,41.216667,9.4,65.34,88,0,10.29
in,dispur,26.1425,91.788889,73.4,100,75,4.25
ru,podporozhye,60.911242,34.170644,49.07,94,0,11.18
ph,albuera,10.9158,124.6945,79.58,100,12,3.36
gb,worksop,53.3,-1.133333,49.23,93,75,9.17
gb,ochiltree,55.45,-4.366667,41.14,93,20,2.24
pk,chak azam sahu,30.75,73.033333,65.72,76,0,4.14
ru,vozdvizhenka,43.9,131.95,39.2,64,0,6.71
re,saint-louis,-21.2666667,55.4166667,71.6,64,20,6.93
co,san andres,12.584722,-81.700556,75.2,94,90,6.93
us,takoma park,38.9777778,-77.0077778,60.35,36,1,8.05
si,velenje,46.3591667,15.110277800000002,54.03,93,0,2.24
ma,casablanca,33.592779,-7.619157,60.8,100,40,5.82
hu,zalalovo,46.848015999999994,16.587495999999998,46.19,85,0,2.8
it,alcamo,37.983333,12.966667,69.53,64,0,8.05
ph,lucero,16.4051,119.9124,78.68,100,8,6.93
gr,kalos agros,41.1,24.0833333,57.2,82,20,2.24
ru,krivodanovka,55.0881,82.6551,33.8,74,40,15.66
mx,tetela del volcan,18.866667,-98.716667,66.04,73,75,2.35
co,concordia,9.835452,-74.455478,77.96,89,56,7.61
ro,halmeu,47.966667,23.016667,47.46,87,0,3.36
ru,malino,55.111952,38.173843,40.17,93,0,2.24
br,mulungu,-7.033333,-35.466667,76.17,83,75,16.11
br,angatuba,-23.483333,-48.416667,68.96,97,36,5.93
ph,alad,12.616824000000001,122.24751299999998,81.2,100,32,5.93
ao,soyo,-6.1349029999999996,12.368935,75.26,90,92,4.14
gr,katastarion,37.8333333,20.7666667,56.5,87,0,2.35
co,san jose de pare,6.0174650000000005,-73.547035,64.37,99,76,1.12
pt,elvas,38.881502000000005,-7.1628169999999995,55.46,99,88,6.71
ge,kaspi,41.9161111,44.4241667,60.8,59,90,2.24
mx,casas grandes,30.366667,-107.95,54.47,55,0,12.08
in,tiruppur,11.1,77.35,73.4,94,40,2.91
ca,valcourt,45.483333,-72.31666700000001,38.28,55,75,12.75
mx,tenosique,17.483333,-91.43333299999999,79.76,86,68,2.68
ru,mosalsk,54.48805600000001,34.981667,40.97,89,0,4.59
us,warren,41.730277799999996,-71.2830556,49.73,66,40,17.22
us,murfreesboro,35.845555600000004,-86.39027779999999,60.03,63,1,9.62
